SpT,SpTnum,Teff,L,R,M,Mbol,BCv,Mv,B-V,Bt-Vt,G-V,Bp-Rp,G-Rp,M_G,b-y,U-B,V-Rc,V-Ic,V-Ks,J-H,H-Ks,Ks-W1,W1-W2,W1-W3,W1-W4,M_J,M_Ks,i-z,z-Y
F3V,43.0,6720,4.677,1.60,1.43,3.05,-0.03,3.08,0.390,-0.405,0.100,0.518,0.293,3.01,0.263,-0.016,0.222,0.449,0.961,0.147,0.051,0.028,-0.028,-0.046,0.008,2.32,2.12,,
F4V,44.0,6640,4.074,1.53,1.39,3.19,-0.04,3.23,0.410,-0.428,0.107,0.546,0.307,3.16,0.277,-0.026,0.236,0.476,1.017,0.159,0.052,0.028,-0.029,-0.046,0.000,2.42,2.21,,
F5V,45.0,6510,3.467,1.46,1.33,3.36,-0.04,3.40,0.440,-0.455,0.116,0.587,0.329,3.32,0.290,-0.029,0.252,0.506,1.079,0.173,0.054,0.028,-0.030,-0.045,-0.004,2.55,2.32,,
F6V,46.0,6340,2.692,1.36,1.25,3.65,-0.05,3.70,0.484,-0.504,0.129,0.640,0.356,3.61,0.317,-0.021,0.276,0.553,1.185,0.199,0.057,0.028,-0.033,-0.045,-0.012,2.78,2.52,,
F7V,47.0,6240,2.291,1.30,1.21,3.81,-0.06,3.87,0.510,-0.534,0.135,0.670,0.372,3.77,0.332,-0.012,0.290,0.579,1.244,0.213,0.060,0.027,-0.036,-0.045,-0.013,2.90,2.63,,
F8V,48.0,6170,2.042,1.25,1.18,3.96,-0.07,4.01,0.530,-0.558,0.140,0.694,0.385,3.90,0.350,0.001,0.300,0.599,1.290,0.225,0.061,0.027,-0.039,-0.044,-0.016,3.01,2.72,,
F9V,49.0,6060,1.820,1.23,1.14,4.07,-0.08,4.15,0.552,-0.587,0.146,0.719,0.399,4.04,0.378,0.014,0.312,0.620,1.340,0.237,0.063,0.027,-0.041,-0.044,-0.014,3.11,2.81,,
F9.5V,49.5,6000,1.622,1.18,1.11,4.22,-0.08,4.29,0.572,-0.615,0.150,0.767,0.431,4.17,,0.033,0.323,0.640,1.385,0.249,0.065,0.027,-0.042,-0.043,-0.012,3.22,2.91,,
G0V,50.0,5920,1.380,1.12,1.08,4.40,-0.09,4.45,0.596,-0.650,0.155,0.782,0.438,4.32,,0.058,0.336,0.664,1.440,0.262,0.067,0.027,-0.043,-0.043,-0.010,3.34,3.01,,
G1V,51.0,5880,1.349,1.12,1.07,4.40,-0.10,4.50,0.625,-0.661,0.162,0.803,0.448,4.37,,0.067,0.340,0.672,1.458,0.267,0.068,0.027,-0.044,-0.042,-0.010,3.38,3.04,,
G2V,52.0,5770,1.023,1.01,1.02,4.68,-0.11,4.79,0.650,-0.724,0.167,0.823,0.459,4.65,,0.133,0.363,0.713,1.564,0.293,0.073,0.028,-0.050,-0.040,-0.016,3.57,3.20,,
G3V,53.0,5720,0.9772,1.01,1.00,4.74,-0.12,4.86,0.660,-0.739,0.169,0.832,0.464,4.72,,0.152,0.368,0.722,1.590,0.299,0.074,0.028,-0.050,-0.040,-0.014,3.64,3.27,,
G4V,54.0,5680,0.9120,0.986,0.99,4.80,-0.13,4.94,0.670,-0.757,0.172,0.841,0.468,4.79,,0.175,0.374,0.733,1.621,0.307,0.075,0.028,-0.052,-0.041,-0.014,3.70,3.32,,
G5V,55.0,5660,0.8913,0.982,0.98,4.84,-0.13,4.98,0.680,-0.764,0.174,0.850,0.473,4.83,,0.185,0.377,0.738,1.635,0.310,0.076,0.028,-0.052,-0.041,-0.014,3.74,3.35,,
G6V,56.0,5590,0.7762,0.939,0.97,4.98,-0.15,5.13,0.700,-0.796,0.180,0.869,0.483,4.97,,0.227,0.388,0.758,1.691,0.324,0.079,0.028,-0.053,-0.040,-0.012,3.84,3.44,,
G7V,57.0,5530,0.7586,0.949,0.96,5.02,-0.16,5.18,0.710,-0.809,0.182,0.880,0.489,5.02,,0.243,0.393,0.766,1.712,0.329,0.080,0.028,-0.054,-0.040,-0.013,3.88,3.47,,
G8V,58.0,5490,0.6761,0.909,0.94,5.15,-0.17,5.32,0.730,-0.842,0.188,0.900,0.499,5.15,,0.284,0.404,0.786,1.768,0.342,0.082,0.028,-0.057,-0.039,-0.018,3.97,3.55,,
G9V,59.0,5340,0.5623,0.876,0.90,5.34,-0.21,5.55,0.775,-0.894,0.204,0.950,0.524,5.34,,0.358,0.423,0.820,1.861,0.365,0.087,0.029,-0.060,-0.038,-0.018,4.14,3.69,,
K0V,60.0,5280,0.4677,0.817,0.87,5.54,-0.22,5.76,0.816,-0.944,0.221,0.98,0.56,5.53,,0.436,0.443,0.853,1.953,0.387,0.091,0.030,-0.063,-0.037,-0.015,4.29,3.81,,
K0.5V,60.5,5240,0.4677,0.828,0.86,5.57,-0.23,5.80,0.825,-0.955,0.225,1.00,0.56,5.56,,0.456,0.448,0.862,1.977,0.393,0.092,0.030,-0.064,-0.038,-0.018,4.31,3.82,,
K1V,61.0,5170,0.4365,0.814,0.85,5.65,-0.26,5.89,0.842,-0.976,0.232,1.01,0.56,5.63,,0.491,0.457,0.879,2.021,0.402,0.094,0.030,-0.064,-0.038,-0.013,4.37,3.87,,
K1.5V,61.5,5140,0.4074,0.809,0.82,5.70,-0.27,5.97,0.860,-0.999,0.241,1.05,0.58,5.69,,0.528,0.467,0.895,2.066,0.412,0.096,0.030,-0.063,-0.037,-0.016,4.41,3.90,,
K2V,62.0,5040,0.3388,0.763,0.78,5.88,-0.29,6.19,0.884,-1.035,0.254,1.10,0.62,5.89,,0.581,0.482,0.920,2.132,0.427,0.098,0.031,-0.068,-0.037,-0.009,4.57,4.04,,
K2.5V,62.5,4990,0.3090,0.742,0.76,6.02,-0.32,6.34,0.938,-1.101,0.288,1.17,0.64,6.04,,0.691,0.513,0.974,2.274,0.459,0.104,0.032,-0.071,-0.032,-0.006,4.63,4.07,,
K3V,63.0,4830,0.2630,0.729,0.75,6.16,-0.41,6.57,0.986,-1.150,0.322,1.21,0.66,6.26,,0.776,0.537,1.013,2.380,0.483,0.109,0.033,-0.071,-0.031,-0.008,4.76,4.16,,
K3.5V,63.5,4700,0.2291,0.720,0.73,6.34,-0.45,6.79,1.050,-1.239,0.371,1.27,0.68,6.42,,0.917,0.592,1.108,2.582,0.520,0.118,0.036,-0.074,-0.031,-0.005,4.85,4.21,,
K4V,64.0,4600,0.2138,0.726,0.72,6.42,-0.56,6.98,1.100,-1.306,0.412,1.32,0.70,6.55,,1.004,0.640,1.190,2.733,0.544,0.125,0.039,-0.073,-0.031,0.009,4.92,4.25,,
K4.5V,64.5,4540,0.2089,0.737,0.71,6.44,-0.60,7.04,1.116,-1.328,0.425,1.38,0.72,6.62,,1.028,0.654,1.216,2.781,0.552,0.127,0.040,-0.073,-0.030,0.017,4.94,4.26,,
K5V,65.0,4410,0.1660,0.698,0.68,6.68,-0.68,7.36,1.150,-1.373,0.454,1.45,0.74,6.95,,1.081,0.685,1.272,2.883,0.568,0.132,0.042,-0.073,-0.029,0.019,5.18,4.48,,
K5.5V,65.5,4330,0.1445,0.672,0.66,6.85,-0.75,7.60,1.200,-1.414,0.495,1.51,0.76,7.16,,1.144,0.728,1.357,3.034,0.591,0.139,0.045,,,,5.30,4.57,,
K6V,66.0,4230,0.1259,0.661,0.65,6.99,-0.81,7.80,1.240,-1.439,0.528,1.58,0.79,7.32,,1.184,0.759,1.420,3.143,0.601,0.148,0.049,,,,5.41,4.66,,
K6.5V,66.5,4190,0.1096,0.656,0.64,7.09,-0.92,8.01,1.310,-1.491,0.581,1.64,0.83,7.49,,1.213,0.796,1.505,3.288,0.613,0.159,0.055,,,,5.56,4.78,,
